threshold,tp,fp,fn,tn,contacted,recall,precision,f1,net_value
0.7899999999999999,74,13,75,438,87,0.4966442953020134,0.8505747126436781,0.6271186440677966,55944.71399999999
0.7949999999999999,72,12,77,439,84,0.48322147651006714,0.8571428571428571,0.6180257510729614,54529.992
0.7999999999999999,71,12,78,439,83,0.47651006711409394,0.8554216867469879,0.6120689655172413,53747.630999999994
0.8049999999999999,69,11,80,440,80,0.46308724832214765,0.8625,0.6026200873362445,52332.90899999999
0.8099999999999999,69,9,80,442,78,0.46308724832214765,0.8846153846153846,0.6079295154185022,52632.90899999999
0.815,68,9,81,442,77,0.4563758389261745,0.8831168831168831,0.6017699115044248,51850.547999999995
0.82,67,9,82,442,76,0.44966442953020136,0.881578947368421,0.5955555555555555,51068.18699999999
0.825,64,9,85,442,73,0.42953020134228187,0.8767123287671232,0.5765765765765766,48721.10399999999
0.83,62,9,87,442,71,0.4161073825503356,0.8732394366197183,0.5636363636363636,47156.38199999999
0.835,62,9,87,442,71,0.4161073825503356,0.8732394366197183,0.5636363636363636,47156.38199999999
0.84,59,9,90,442,68,0.3959731543624161,0.8676470588235294,0.543778801843318,44809.29899999999
0.845,56,9,93,442,65,0.37583892617449666,0.8615384615384616,0.5233644859813084,42462.21599999999
0.8499999999999999,54,8,95,443,62,0.3624161073825503,0.8709677419354839,0.5118483412322274,41047.49399999999
0.8549999999999999,54,8,95,443,62,0.3624161073825503,0.8709677419354839,0.5118483412322274,41047.49399999999
0.8599999999999999,54,7,95,444,61,0.3624161073825503,0.8852459016393442,0.5142857142857142,41197.49399999999
0.8649999999999999,54,7,95,444,61,0.3624161073825503,0.8852459016393442,0.5142857142857142,41197.49399999999
0.8699999999999999,53,6,96,445,59,0.35570469798657717,0.8983050847457628,0.5096153846153846,40565.132999999994
0.8749999999999999,52,6,97,445,58,0.348993288590604,0.896551724137931,0.5024154589371981,39782.772
0.8799999999999999,50,6,99,445,56,0.33557046979865773,0.8928571428571429,0.4878048780487805,38218.049999999996
0.8849999999999999,49,6,100,445,55,0.3288590604026846,0.8909090909090909,0.4803921568627451,37435.68899999999
0.8899999999999999,46,6,103,445,52,0.3087248322147651,0.8846153846153846,0.4577114427860697,35088.60599999999
0.8949999999999999,43,6,106,445,49,0.28859060402684567,0.8775510204081632,0.43434343434343436,32741.522999999994
0.8999999999999999,43,6,106,445,49,0.28859060402684567,0.8775510204081632,0.43434343434343436,32741.522999999994
0.9049999999999999,40,6,109,445,46,0.2684563758389262,0.8695652173913043,0.41025641025641024,30394.439999999995
0.9099999999999999,40,6,109,445,46,0.2684563758389262,0.8695652173913043,0.41025641025641024,30394.439999999995
0.9149999999999999,40,6,109,445,46,0.2684563758389262,0.8695652173913043,0.41025641025641024,30394.439999999995
0.9199999999999999,37,6,112,445,43,0.2483221476510067,0.8604651162790697,0.3854166666666667,28047.356999999996
0.9249999999999999,34,6,115,445,40,0.22818791946308725,0.85,0.35978835978835977,25700.273999999998
0.9299999999999999,32,5,117,446,37,0.21476510067114093,0.8648648648648649,0.34408602150537637,24285.551999999996
0.9349999999999999,31,4,118,447,35,0.2080536912751678,0.8857142857142857,0.33695652173913043,23653.190999999995
0.94,30,3,119,448,33,0.20134228187919462,0.9090909090909091,0.32967032967032966,23020.829999999994
0.945,28,2,121,449,30,0.18791946308724833,0.9333333333333333,0.3128491620111732,21606.107999999997
0.95,25,2,124,449,27,0.16778523489932887,0.9259259259259259,0.2840909090909091,19259.024999999998
